ReportingPartyUUID,ReportingPartyFirstName,ReportingPartyLastName,ReportingPartyUnit,ReportingPartyPosition,ReportingPartyOrganization,ReportingPartyDepartment,ReportingPartyEmail,ReportingPartyPhone,ReportingPartyDSN,ReportingPartyMailingAddress,ReportingPartyCombatantOrNonCombatant,ReportingPartyConsent,ReportingPartyAdditionalNotes,ReportingPartySecurityClearance,ReportingPartyGender,ReportingPartyAge,ReportingPartyNationality,ReportingPartyOccupation,ReportingPartyAttachments
d8b74b7c-052e-4640-8912-471e4b3525e2,Eve,Johnson,4th Division,Reconnaissance Officer,Red Cross,Reconnaissance,eve.lee@unhcr.org,321-654-0987,214-5678,"789 Oak St, Camp Leatherneck, Afghanistan",Combatant,Yes,Civilian casualties involved,Secret,Male,22,Canadian,Humanitarian Worker,Documents
f359ffa4-74ea-43d1-993f-b0490b7fd9bf,Eve,Smith,4th Division,Field Officer,UNHCR,Humanitarian Aid,alice.smith@army.mil,123-456-7890,432-1098,"789 Oak St, Camp Leatherneck, Afghanistan",Non-Combatant,No,Civilian casualties involved,Confidential,Female,37,Canadian,Intelligence Officer,Images
3ef37c9b-5e70-4c25-8b43-641be7b42c3c,Charlie,Smith,3rd Company,Reconnaissance Officer,NATO,Reconnaissance,charlie.brown@marines.mil,987-654-3210,312-3456,"789 Oak St, Camp Leatherneck, Afghanistan",Combatant,No,Civilian casualties involved,Secret,Male,21,British,Intelligence Officer,Images
40b32fd6-fc3c-454c-8b59-68df8d478956,Bob,Johnson,2nd Brigade,Lieutenant,US Marines,Reconnaissance,eve.lee@unhcr.org,987-654-3210,312-3456,"123 Main St, Fort Bragg, NC 28307, USA",Combatant,No,High priority case,Confidential,Female,46,Canadian,Humanitarian Worker,Images
23e38948-3e55-49ff-baad-ad7ec61411f3,Charlie,Brown,2nd Brigade,Captain,US Army,Reconnaissance,alice.smith@army.mil,321-654-0987,214-5678,"789 Oak St, Camp Leatherneck, Afghanistan",Non-Combatant,No,None,Secret,Female,26,Canadian,Humanitarian Worker,Documents
430d9d30-15f8-40fd-83c3-3c08be20b782,Bob,Brown,4th Division,Reconnaissance Officer,UNHCR,Reconnaissance,bob.johnson@redcross.org,123-456-7890,432-1098,"789 Oak St, Camp Leatherneck, Afghanistan",Non-Combatant,No,None,Secret,Male,24,American,Humanitarian Worker,None
d1f4a7e5-defe-4fd5-bbaf-6acb02cd7be1,David,Brown,1st Battalion,Field Officer,NATO,Intelligence,david.taylor@nato.int,123-456-7890,312-3456,"456 Elm St, Baghdad, Iraq",Combatant,No,High priority case,Top Secret,Female,48,American,Humanitarian Worker,Documents
5c67de3e-c600-46ab-bde9-03f19da25567,Bob,Smith,4th Division,Captain,NATO,Intelligence,charlie.brown@marines.mil,123-456-7890,312-3456,"123 Main St, Fort Bragg, NC 28307, USA",Combatant,Yes,High priority case,Top Secret,Female,42,British,Reconnaissance Officer,Images
8eb5405a-112a-4522-9c41-ebe0eaf39f0d,David,Taylor,4th Division,Lieutenant,Red Cross,Intelligence,bob.johnson@redcross.org,321-654-0987,214-5678,"789 Oak St, Camp Leatherneck, Afghanistan",Combatant,No,High priority case,Secret,Male,37,American,Humanitarian Worker,None
855cfe69-0ace-4108-896b-56ab97bc700b,Bob,Lee,3rd Company,Field Officer,UNHCR,Reconnaissance,eve.lee@unhcr.org,123-456-7890,432-1098,"789 Oak St, Camp Leatherneck, Afghanistan",Combatant,No,High priority case,Confidential,Female,50,British,Humanitarian Worker,None
53f3f662-e095-4801-953f-2c6d97ea2b7c,Bob,Taylor,2nd Brigade,Field Officer,US Army,Intelligence,david.taylor@nato.int,987-654-3210,432-1098,"789 Oak St, Camp Leatherneck, Afghanistan",Combatant,Yes,High priority case,Secret,Female,44,Canadian,Humanitarian Worker,None
a4538534-328f-48ff-97fe-ba264a58f3fc,Eve,Brown,4th Division,Captain,NATO,Intelligence,eve.lee@unhcr.org,321-654-0987,214-5678,"123 Main St, Fort Bragg, NC 28307, USA",Combatant,No,Civilian casualties involved,Secret,Male,29,British,Intelligence Officer,None
45f13db9-2f9f-4cca-a87f-8c27bcf8e2f8,Charlie,Smith,4th Division,Reconnaissance Officer,Red Cross,Humanitarian Aid,charlie.brown@marines.mil,987-654-3210,214-5678,"123 Main St, Fort Bragg, NC 28307, USA",Combatant,No,High priority case,Top Secret,Male,29,American,Humanitarian Worker,Documents
f0ff41ee-6a41-4e66-ac93-7a747899c2e1,David,Taylor,3rd Company,Reconnaissance Officer,UNHCR,Intelligence,alice.smith@army.mil,123-456-7890,312-3456,"123 Main St, Fort Bragg, NC 28307, USA",Combatant,Yes,None,Top Secret,Female,42,Canadian,Humanitarian Worker,Images
27680ecc-c525-4ec7-ae24-2bd0118b7a0f,Eve,Johnson,1st Battalion,Lieutenant,Red Cross,Humanitarian Aid,charlie.brown@marines.mil,123-456-7890,312-3456,"123 Main St, Fort Bragg, NC 28307, USA",Combatant,No,None,Secret,Male,32,Canadian,Reconnaissance Officer,Images
3deece3a-c746-4d27-8693-2b3678959565,Charlie,Taylor,3rd Company,Lieutenant,Red Cross,Humanitarian Aid,david.taylor@nato.int,987-654-3210,432-1098,"123 Main St, Fort Bragg, NC 28307, USA",Combatant,No,High priority case,Top Secret,Male,35,American,Humanitarian Worker,Images
26a3a26b-3af1-425e-acb2-0164443424cc,Charlie,Smith,3rd Company,Lieutenant,NATO,Reconnaissance,david.taylor@nato.int,987-654-3210,214-5678,"123 Main St, Fort Bragg, NC 28307, USA",Non-Combatant,Yes,High priority case,Secret,Male,38,British,Reconnaissance Officer,Documents
2daf8bc8-4063-4c54-9d82-5cd5a46f6ca3,Eve,Lee,2nd Brigade,Lieutenant,US Marines,Reconnaissance,eve.lee@unhcr.org,123-456-7890,432-1098,"456 Elm St, Baghdad, Iraq",Non-Combatant,Yes,None,Secret,Female,37,American,Intelligence Officer,None
d0b28bd9-02a0-4112-97d1-e3cd611a1d9d,David,Brown,4th Division,Field Officer,Red Cross,Reconnaissance,alice.smith@army.mil,987-654-3210,432-1098,"789 Oak St, Camp Leatherneck, Afghanistan",Non-Combatant,Yes,None,Secret,Female,25,Canadian,Humanitarian Worker,Images
4ec95e7a-8727-466c-bb72-53a562a640fc,Charlie,Johnson,1st Battalion,Captain,NATO,Reconnaissance,david.taylor@nato.int,987-654-3210,432-1098,"123 Main St, Fort Bragg, NC 28307, USA",Non-Combatant,Yes,High priority case,Secret,Female,22,Canadian,Intelligence Officer,None
e3e79a48-3fd2-4d17-8eaa-11357033c283,Eve,Johnson,4th Division,Captain,NATO,Humanitarian Aid,eve.lee@unhcr.org,123-456-7890,432-1098,"456 Elm St, Baghdad, Iraq",Non-Combatant,No,Civilian casualties involved,Top Secret,Male,45,British,Humanitarian Worker,Images
ad6a0398-9947-4d3d-b6fc-42c208473a0d,Bob,Brown,3rd Company,Lieutenant,UNHCR,Intelligence,charlie.brown@marines.mil,123-456-7890,312-3456,"789 Oak St, Camp Leatherneck, Afghanistan",Combatant,No,High priority case,Secret,Female,40,Canadian,Reconnaissance Officer,Images
9be8db9c-0f0d-4477-9042-223437fe0a48,Eve,Taylor,4th Division,Field Officer,Red Cross,Reconnaissance,david.taylor@nato.int,321-654-0987,312-3456,"456 Elm St, Baghdad, Iraq",Non-Combatant,Yes,High priority case,Top Secret,Male,27,American,Reconnaissance Officer,None
88a525d7-c524-4f30-a803-99795a4f23ea,Alice,Lee,2nd Brigade,Captain,US Army,Reconnaissance,david.taylor@nato.int,123-456-7890,214-5678,"789 Oak St, Camp Leatherneck, Afghanistan",Combatant,Yes,Civilian casualties involved,Secret,Female,29,American,Intelligence Officer,None
96a366c7-3e78-4832-b4ad-62d065ad1fda,Alice,Taylor,3rd Company,Lieutenant,UNHCR,Intelligence,david.taylor@nato.int,987-654-3210,214-5678,"789 Oak St, Camp Leatherneck, Afghanistan",Combatant,No,Civilian casualties involved,Confidential,Male,23,American,Humanitarian Worker,Documents
